id,timestamp,truck_id,driver_id,trip_id,fuel_level,lat,lon,speed,speed_kmph,odometer_km,engine_status,anomaly_flag,anomaly_score,model_source,fuel_delta,odometer_delta,delta_time_sec,fuel_per_km,fuel_rate_per_hour,record_origin
006effc2-d09a-4d7d-8fb7-58a72f76d1d1,2026-04-02 22:10:20.380000+00:00,11111111-0000-0000-0000-000000000002,22222222-0000-0000-0000-000000000003,33333333-0000-0000-0000-000000000002,88.0,14.5995,120.9842,0.0,0.0,32100.0,on,,,,,,,0.0,0.0,live_supabase
45ef6cfb-3756-4b94-b462-1c12a9b1f665,2026-04-02 23:10:20.380000+00:00,11111111-0000-0000-0000-000000000002,22222222-0000-0000-0000-000000000003,33333333-0000-0000-0000-000000000002,84.5,14.5,121.02,70.0,70.0,32150.0,on,,,,-3.5,50.0,3600.0,0.07,3.5,live_supabase
c75eb392-3916-4b50-8f2d-4b6d7f469c98,2026-04-03 00:10:20.380000+00:00,11111111-0000-0000-0000-000000000002,22222222-0000-0000-0000-000000000003,33333333-0000-0000-0000-000000000002,80.1,14.35,121.08,75.0,75.0,32250.0,on,,,,-4.400000000000006,100.0,3600.0,0.04400000000000006,4.400000000000006,live_supabase
5ebd970b-0ad9-4849-b0bc-a52194039ab8,2026-04-03 01:10:20.380000+00:00,11111111-0000-0000-0000-000000000002,22222222-0000-0000-0000-000000000003,33333333-0000-0000-0000-000000000002,76.3,14.2,121.14,72.0,72.0,32350.0,on,,,,-3.799999999999997,100.0,3600.0,0.03799999999999997,3.799999999999997,live_supabase
dce0adf7-74ba-424a-aaa4-487fa40632e7,2026-04-03 02:10:20.380000+00:00,11111111-0000-0000-0000-000000000002,22222222-0000-0000-0000-000000000003,33333333-0000-0000-0000-000000000002,73.0,14.08,121.18,68.0,68.0,32314.6,on,,,,-3.299999999999997,-35.400000000001455,3600.0,0.0,3.299999999999997,live_supabase
42651530-cf02-4efb-a928-4eed2e1faca3,2026-04-04 03:17:29.298926+00:00,11111111-0000-0000-0000-000000000002,22222222-0000-0000-0000-000000000003,679c39ad-074c-49bb-8c7f-a0f03924a325,79.6,14.5995,120.9842,0.0,0.0,50859.2,on,False,,,,,,0.0,0.0,live_supabase
dd89ed8f-63a9-45d5-b2a7-7e193f677439,2026-04-04 03:17:39.425351+00:00,11111111-0000-0000-0000-000000000002,22222222-0000-0000-0000-000000000003,679c39ad-074c-49bb-8c7f-a0f03924a325,79.59,14.598817,120.984448,58.7,58.7,50859.2,on,False,,,-0.009999999999990905,0.0,10.126425,0.0,3.5550552144480667,live_supabase
5872991c-d10c-46b8-aff1-05147f4c2f5f,2026-04-04 03:17:48.690427+00:00,11111111-0000-0000-0000-000000000002,22222222-0000-0000-0000-000000000003,679c39ad-074c-49bb-8c7f-a0f03924a325,79.58,14.598026,120.984711,69.7,69.7,50859.3,on,False,,,-0.010000000000005116,0.10000000000582077,9.265076,0.0999999999942304,3.8855590607155746,live_supabase
c20ea66c-a3a9-4e4e-b884-fb9ec307d0f2,2026-04-04 03:17:57.818231+00:00,11111111-0000-0000-0000-000000000002,22222222-0000-0000-0000-000000000003,679c39ad-074c-49bb-8c7f-a0f03924a325,79.58,14.597249,120.985023,69.4,69.4,50859.4,on,False,,,0.0,0.09999999999854481,9.127804,-0.0,-0.0,live_supabase
5122ef75-dbba-42eb-84b4-f52be367c450,2026-04-04 03:18:06.700777+00:00,11111111-0000-0000-0000-000000000002,22222222-0000-0000-0000-000000000003,679c39ad-074c-49bb-8c7f-a0f03924a325,79.57,14.59632,120.985281,83.7,83.7,50859.5,on,False,,,-0.010000000000005116,0.09999999999854481,8.882546,0.10000000000150636,4.052892042441257,live_supabase
