ts,truck,driver,trip_id,fuel,speed,lat,lon,odometer,anomaly,latency_ms
2026-04-04T14:57:18.157758+00:00,TRK-002,maria,d361b7ce,75.85,40.7,14.584927,120.983558,47130.5,False,464
2026-04-04T14:57:23.622195+00:00,TRK-002,maria,d361b7ce,75.84,82.6,14.584927,120.983558,47130.7,False,1537
2026-04-04T14:57:30.160201+00:00,TRK-002,maria,d361b7ce,75.82,71.1,14.585005,120.983576,47130.8,False,484
2026-04-04T14:57:35.645408+00:00,TRK-002,maria,d361b7ce,75.8,70.2,14.584944,120.98355,47130.8,False,677
2026-04-04T14:57:41.322573+00:00,TRK-002,maria,d361b7ce,75.79,37.5,14.584934,120.983563,47130.9,False,1541
2026-04-04T14:57:47.872154+00:00,TRK-002,maria,d361b7ce,75.77,40.6,14.584937,120.983482,47131.0,False,380
2026-04-04T14:57:53.252670+00:00,TRK-002,maria,d361b7ce,75.76,29.5,14.584886,120.983408,47131.0,False,1559
2026-04-04T14:57:59.812472+00:00,TRK-002,maria,d361b7ce,75.75,36.8,14.58498,120.983351,47131.1,False,490
2026-04-04T14:58:05.302883+00:00,TRK-002,maria,d361b7ce,75.72,36.1,14.585364,120.983093,47131.1,False,485
2026-04-04T14:58:10.788354+00:00,TRK-002,maria,d361b7ce,75.72,54.5,14.585811,120.982817,47131.2,False,1487
2026-04-04T14:58:17.275907+00:00,TRK-002,maria,d361b7ce,75.72,31.6,14.586054,120.982751,47131.2,False,520
2026-04-04T14:58:22.796819+00:00,TRK-002,maria,d361b7ce,75.7,59.3,14.58614,120.982664,47131.3,False,508
2026-04-04T14:58:28.305060+00:00,TRK-002,maria,d361b7ce,75.68,69.8,14.586184,120.982754,47131.4,False,1526
2026-04-04T14:58:34.832750+00:00,TRK-002,maria,d361b7ce,75.66,79.9,14.586263,120.982804,47131.5,False,400
2026-04-04T14:58:40.233166+00:00,TRK-002,maria,d361b7ce,75.64,61.7,14.58624,120.982809,47131.6,False,1460
2026-04-04T14:58:46.693992+00:00,TRK-002,maria,d361b7ce,75.62,46.9,14.586414,120.98301,47131.7,False,449
2026-04-04T14:58:52.143573+00:00,TRK-002,maria,d361b7ce,75.62,25.7,14.586574,120.983025,47131.7,False,490
2026-04-04T14:58:57.634009+00:00,TRK-002,maria,d361b7ce,75.61,31.2,14.586685,120.983148,47131.7,False,1463
2026-04-04T14:59:04.098380+00:00,TRK-002,maria,d361b7ce,75.57,81.0,14.586872,120.983234,47131.9,False,433
2026-04-04T14:59:09.532146+00:00,TRK-002,maria,d361b7ce,75.55,76.1,14.586862,120.983221,47132.0,False,1470
2026-04-04T14:59:16.003510+00:00,TRK-002,maria,d361b7ce,75.52,67.1,14.586869,120.983273,47132.1,False,449
2026-04-04T14:59:18.155388+00:00,TRK-004,ana,c561881b,76.82,33.0,14.584927,120.983558,30847.2,False,401
2026-04-04T14:59:21.453049+00:00,TRK-002,maria,d361b7ce,75.51,28.5,14.586932,120.983343,47132.1,False,392
2026-04-04T14:59:23.557334+00:00,TRK-004,ana,c561881b,76.81,43.9,14.584927,120.983558,30847.3,False,378
2026-04-04T14:59:26.845482+00:00,TRK-002,maria,d361b7ce,75.51,37.5,14.587004,120.983378,47132.1,False,395
2026-04-04T14:59:28.936587+00:00,TRK-004,ana,c561881b,76.8,34.9,14.584926,120.983684,30847.3,False,387
2026-04-04T14:59:32.241693+00:00,TRK-002,maria,d361b7ce,75.5,45.5,14.587109,120.983465,47132.2,False,432
2026-04-04T14:59:34.324791+00:00,TRK-004,ana,c561881b,76.78,40.2,14.584992,120.98352,30847.4,False,564
2026-04-04T14:59:37.674125+00:00,TRK-002,maria,d361b7ce,75.48,74.4,14.58789,120.984009,47132.3,False,400
2026-04-04T14:59:39.889799+00:00,TRK-004,ana,c561881b,76.75,58.8,14.585014,120.983558,30847.4,False,383
2026-04-04T14:59:43.075544+00:00,TRK-002,maria,d361b7ce,75.47,68.3,14.588515,120.984424,47132.4,False,433
2026-04-04T14:59:45.273551+00:00,TRK-004,ana,c561881b,76.74,47.5,14.584909,120.983501,30847.5,False,859
2026-04-04T14:59:48.509596+00:00,TRK-002,maria,d361b7ce,75.46,33.6,14.588545,120.984473,47132.5,False,470
2026-04-04T14:59:51.133034+00:00,TRK-004,ana,c561881b,76.71,58.1,14.584793,120.983416,30847.6,False,448
2026-04-04T14:59:53.980120+00:00,TRK-002,maria,d361b7ce,75.45,81.8,14.588569,120.984533,47132.6,False,415
2026-04-04T14:59:56.581388+00:00,TRK-004,ana,c561881b,76.69,42.1,14.584955,120.983362,30847.7,False,370
2026-04-04T14:59:59.395882+00:00,TRK-002,maria,d361b7ce,75.43,81.8,14.588519,120.984509,47132.7,False,355
2026-04-04T15:00:01.952562+00:00,TRK-004,ana,c561881b,76.67,44.4,14.585471,120.982997,30847.7,False,393
2026-04-04T15:00:04.751551+00:00,TRK-002,maria,d361b7ce,75.41,71.3,14.588559,120.984587,47132.8,False,526
2026-04-04T15:00:07.346957+00:00,TRK-004,ana,c561881b,76.64,48.7,14.585874,120.982851,30847.8,False,432
2026-04-04T15:00:10.278265+00:00,TRK-002,maria,d361b7ce,75.41,62.2,14.588476,120.984634,47132.9,False,386
2026-04-04T15:00:12.780459+00:00,TRK-004,ana,c561881b,76.62,38.0,14.585993,120.982722,30847.8,False,448
2026-04-04T15:00:15.664847+00:00,TRK-002,maria,d361b7ce,75.4,77.5,14.588486,120.984671,47133.0,False,464
2026-04-04T15:00:18.228999+00:00,TRK-004,ana,c561881b,76.6,36.6,14.586125,120.982635,30847.9,False,382
2026-04-04T15:00:21.130204+00:00,TRK-002,maria,d361b7ce,75.4,30.3,14.588487,120.984726,47133.0,False,422
2026-04-04T15:00:23.611180+00:00,TRK-004,ana,c561881b,76.58,42.1,14.586129,120.982741,30847.9,False,386
2026-04-04T15:00:26.553470+00:00,TRK-002,maria,d361b7ce,75.38,44.2,14.588089,120.984876,47133.1,False,542
2026-04-04T15:00:28.997838+00:00,TRK-004,ana,c561881b,76.57,63.7,14.586217,120.982766,30848.0,False,403
2026-04-04T15:00:32.096418+00:00,TRK-002,maria,d361b7ce,75.37,42.0,14.587887,120.984934,47133.1,False,438
2026-04-04T15:00:34.401358+00:00,TRK-004,ana,c561881b,76.55,60.4,14.586264,120.982836,30848.1,False,472
2026-04-04T15:00:37.535604+00:00,TRK-002,maria,d361b7ce,75.35,56.4,14.587833,120.985006,47133.2,False,498
2026-04-04T15:00:39.874488+00:00,TRK-004,ana,c561881b,76.54,57.2,14.586369,120.982983,30848.2,False,458
2026-04-04T15:00:43.033673+00:00,TRK-002,maria,d361b7ce,75.33,69.8,14.587359,120.985201,47133.3,False,863
2026-04-04T15:00:45.333303+00:00,TRK-004,ana,c561881b,76.52,47.0,14.586529,120.983089,30848.3,False,1000
2026-04-04T15:00:48.897040+00:00,TRK-002,maria,d361b7ce,75.33,0.0,14.587359,120.985201,47133.3,False,433
2026-04-04T15:00:51.334088+00:00,TRK-004,ana,c561881b,76.5,48.0,14.586679,120.983155,30848.3,False,409
2026-04-04T15:00:54.330906+00:00,TRK-002,maria,d361b7ce,75.3,81.8,14.586501,120.985582,47133.4,False,1479
2026-04-04T15:00:56.743556+00:00,TRK-004,ana,c561881b,76.5,0.0,14.586679,120.983155,30848.3,False,419
2026-04-04T15:01:00.810575+00:00,TRK-002,maria,d361b7ce,49.52,0.0,14.586285,120.985747,47133.5,True,450
2026-04-04T15:01:02.162772+00:00,TRK-004,ana,c561881b,76.48,63.3,14.586866,120.983267,30848.4,False,450
2026-04-04T15:01:06.261513+00:00,TRK-002,maria,d361b7ce,49.52,37.0,14.586085,120.985851,47133.5,False,391
2026-04-04T15:01:07.613041+00:00,TRK-004,ana,c561881b,76.46,37.8,14.58689,120.983357,30848.5,False,399
2026-04-04T15:01:11.653442+00:00,TRK-002,maria,d361b7ce,49.52,31.9,14.585989,120.985804,47133.6,False,387
2026-04-04T15:01:13.012920+00:00,TRK-004,ana,c561881b,76.46,28.8,14.586969,120.983331,30848.5,False,395
2026-04-04T15:01:17.041401+00:00,TRK-002,maria,d361b7ce,49.52,59.1,14.585683,120.985999,47133.6,False,435
2026-04-04T15:01:18.408732+00:00,TRK-004,ana,c561881b,76.43,42.4,14.586995,120.983318,30848.6,False,666
2026-04-04T15:01:22.477815+00:00,TRK-002,maria,d361b7ce,49.51,74.8,14.585601,120.986024,47133.8,False,397
2026-04-04T15:01:24.076075+00:00,TRK-004,ana,c561881b,76.4,59.3,14.587134,120.983447,30848.6,False,445
2026-04-04T15:01:27.875804+00:00,TRK-002,maria,d361b7ce,49.51,35.6,14.585562,120.986044,47133.8,False,430
2026-04-04T15:01:29.522289+00:00,TRK-004,ana,c561881b,76.37,64.4,14.587769,120.983978,30848.7,False,402
2026-04-04T15:01:33.307118+00:00,TRK-002,maria,d361b7ce,49.5,82.8,14.58527,120.986115,47133.9,False,419
2026-04-04T15:01:34.925005+00:00,TRK-004,ana,c561881b,76.35,45.5,14.588333,120.984301,30848.8,False,484
2026-04-04T15:01:38.726920+00:00,TRK-002,maria,d361b7ce,49.49,69.5,14.585175,120.986179,47134.0,False,391
2026-04-04T15:01:40.410276+00:00,TRK-004,ana,c561881b,76.33,60.3,14.588674,120.984526,30848.9,False,374
2026-04-04T15:01:44.118322+00:00,TRK-002,maria,d361b7ce,49.47,37.1,14.584748,120.986403,47134.1,False,370
2026-04-04T15:01:45.784857+00:00,TRK-004,ana,c561881b,76.31,49.8,14.58877,120.984551,30849.0,True,386
2026-04-04T15:01:49.488476+00:00,TRK-002,maria,d361b7ce,49.46,44.8,14.584411,120.986581,47134.1,False,541
2026-04-04T15:01:51.172066+00:00,TRK-004,ana,c561881b,76.26,25.3,14.58893,120.984716,30849.0,True,415
2026-04-04T15:01:55.030596+00:00,TRK-002,maria,d361b7ce,49.44,38.9,14.583915,120.986732,47134.2,False,427
2026-04-04T15:01:56.588681+00:00,TRK-004,ana,c561881b,76.16,64.0,14.5892,120.984931,30849.1,True,446
