ts,scenario,truck,driver,trip_label,trip_id,fuel,speed,lat,lon,odometer,engine_status,anomaly,latency_ms
2026-04-04T17:58:11.929080+00:00,fleet,TRK-002,maria,TRK-002-1,036dacc3,76.52,86.1,14.502721,121.017678,34527.8,on,False,699
2026-04-04T17:58:17.629624+00:00,fleet,TRK-002,maria,TRK-002-1,036dacc3,76.51,84.6,14.502387,121.018667,34527.9,on,False,2504
2026-04-04T17:58:25.134571+00:00,fleet,TRK-002,maria,TRK-002-1,036dacc3,76.49,83.1,14.502624,121.01966,34528.0,on,False,1703
2026-04-04T17:58:31.838105+00:00,fleet,TRK-002,maria,TRK-002-1,036dacc3,76.48,86.1,14.503226,121.020482,34528.2,on,False,1052
2026-04-04T17:58:37.891121+00:00,fleet,TRK-002,maria,TRK-002-1,036dacc3,76.45,83.2,14.503999,121.021162,34528.3,on,False,709
2026-04-04T17:58:43.601519+00:00,fleet,TRK-002,maria,TRK-002-1,036dacc3,76.42,79.2,14.504682,121.021932,34528.4,on,False,2075
2026-04-04T17:58:50.677123+00:00,fleet,TRK-002,maria,TRK-002-1,036dacc3,76.41,86.3,14.505175,121.022849,34528.5,on,False,423
2026-04-04T17:58:56.101116+00:00,fleet,TRK-002,maria,TRK-002-1,036dacc3,76.39,78.4,14.505699,121.023745,34528.6,on,False,2084
2026-04-04T17:59:03.185384+00:00,fleet,TRK-002,maria,TRK-002-1,036dacc3,76.38,83.1,14.506226,121.024641,34528.7,on,False,447
2026-04-04T17:59:08.632761+00:00,fleet,TRK-002,maria,TRK-002-1,036dacc3,76.36,82.7,14.506776,121.025523,34528.8,on,False,1577
2026-04-04T17:59:15.210859+00:00,fleet,TRK-002,maria,TRK-002-1,036dacc3,76.34,79.1,14.507325,121.026405,34528.9,on,False,2204
2026-04-04T17:59:22.416783+00:00,fleet,TRK-002,maria,TRK-002-1,036dacc3,76.33,77.4,14.507873,121.027288,34529.1,on,False,1464
2026-04-04T17:59:28.881805+00:00,fleet,TRK-002,maria,TRK-002-1,036dacc3,76.31,83.3,14.508435,121.028162,34529.2,on,False,1991
2026-04-04T17:59:35.873716+00:00,fleet,TRK-002,maria,TRK-002-1,036dacc3,76.29,85.7,14.508988,121.029042,34529.3,on,False,1371
2026-04-04T17:59:42.245770+00:00,fleet,TRK-002,maria,TRK-002-1,036dacc3,76.27,79.0,14.509539,121.029923,34529.4,on,False,1696
2026-04-04T17:59:48.942664+00:00,fleet,TRK-002,maria,TRK-002-1,036dacc3,76.24,79.7,14.510088,121.030805,34529.5,on,False,664
2026-04-04T17:59:54.607813+00:00,fleet,TRK-002,maria,TRK-002-1,036dacc3,76.22,84.0,14.510659,121.031672,34529.6,on,False,1771
2026-04-04T18:00:01.379908+00:00,fleet,TRK-002,maria,TRK-002-1,036dacc3,76.2,80.9,14.511446,121.032324,34529.7,on,False,1065
2026-04-04T18:00:07.446348+00:00,fleet,TRK-002,maria,TRK-002-1,036dacc3,76.18,83.0,14.512332,121.032837,34529.8,on,False,661
2026-04-04T18:00:13.108727+00:00,fleet,TRK-002,maria,TRK-002-1,036dacc3,76.17,81.3,14.513227,121.033334,34530.0,on,False,1924
2026-04-04T18:00:20.033793+00:00,fleet,TRK-002,maria,TRK-002-1,036dacc3,76.16,78.3,14.51407,121.033915,34530.1,on,False,504
2026-04-04T18:00:25.538509+00:00,fleet,TRK-002,maria,TRK-002-1,036dacc3,76.13,83.8,14.514785,121.034658,34530.2,on,False,1792
2026-04-04T18:00:32.330873+00:00,fleet,TRK-002,maria,TRK-002-1,036dacc3,76.1,82.0,14.515284,121.035566,34530.3,on,False,869
2026-04-04T18:00:38.201368+00:00,fleet,TRK-002,maria,TRK-002-1,036dacc3,76.09,77.6,14.515494,121.036589,34530.4,on,False,596
2026-04-04T18:00:43.797512+00:00,fleet,TRK-002,maria,TRK-002-1,036dacc3,76.07,79.1,14.515718,121.03761,34530.5,on,False,1737
2026-04-04T18:00:50.535616+00:00,fleet,TRK-002,maria,TRK-002-1,036dacc3,76.06,79.6,14.515986,121.038622,34530.6,on,False,743
2026-04-04T18:00:56.304042+00:00,fleet,TRK-002,maria,TRK-002-1,036dacc3,76.03,78.2,14.516127,121.03966,34530.7,on,False,422
2026-04-04T18:01:01.727231+00:00,fleet,TRK-002,maria,TRK-002-1,036dacc3,76.0,79.9,14.516174,121.040708,34530.9,on,False,552
2026-04-04T18:01:07.279716+00:00,fleet,TRK-002,maria,TRK-002-1,036dacc3,75.99,84.9,14.51611,121.041752,34531.0,on,False,713
2026-04-04T18:01:12.993810+00:00,fleet,TRK-002,maria,TRK-002-1,036dacc3,75.97,78.4,14.516134,121.042801,34531.1,on,False,1844
2026-04-04T18:01:19.837897+00:00,fleet,TRK-002,maria,TRK-002-1,036dacc3,75.95,77.2,14.51616,121.04385,34531.2,on,False,447
2026-04-04T18:01:25.286094+00:00,fleet,TRK-002,maria,TRK-002-1,036dacc3,75.92,78.0,14.516206,121.044898,34531.3,on,False,1892
2026-04-04T18:01:32.179870+00:00,fleet,TRK-002,maria,TRK-002-1,036dacc3,75.9,84.9,14.516268,121.045945,34531.4,on,False,857
2026-04-04T18:01:38.037658+00:00,fleet,TRK-002,maria,TRK-002-1,036dacc3,75.87,82.3,14.516423,121.04698,34531.5,on,False,672
2026-04-04T18:01:43.709911+00:00,fleet,TRK-002,maria,TRK-002-1,036dacc3,75.86,84.0,14.516692,121.047991,34531.7,on,False,1867
2026-04-04T18:01:50.577516+00:00,fleet,TRK-002,maria,TRK-002-1,036dacc3,75.84,81.0,14.517057,121.048969,34531.8,on,False,465
2026-04-04T18:01:56.043203+00:00,fleet,TRK-002,maria,TRK-002-1,036dacc3,75.81,77.9,14.517535,121.049894,34531.9,on,False,1979
2026-04-04T18:02:03.023355+00:00,fleet,TRK-002,maria,TRK-002-1,036dacc3,75.79,78.4,14.518059,121.050792,34532.0,on,False,861
2026-04-04T18:02:08.884857+00:00,fleet,TRK-002,maria,TRK-002-1,036dacc3,75.77,80.6,14.518687,121.051616,34532.1,on,False,1682
2026-04-04T18:02:15.567893+00:00,fleet,TRK-002,maria,TRK-002-1,036dacc3,75.76,84.1,14.519394,121.052369,34532.2,on,False,961
2026-04-04T18:02:21.529894+00:00,fleet,TRK-002,maria,TRK-002-1,036dacc3,75.75,85.0,14.520181,121.05303,34532.3,on,False,767
